,moon_x,moon_y
470,-366546.7593005176,124872.81932768924
471,-366626.2105407297,124672.96424785937
472,-366705.52567319083,124473.06230692747
473,-366784.70465725125,124273.11357412742
474,-366863.74745242763,124073.11811879261
475,-366942.6540180867,123873.0760101734
476,-367021.4243138444,123672.9873176033
477,-367100.05829923425,123472.85211046561
478,-367178.55593378935,123272.67045811037
479,-367256.9171771923,123072.44242995417
480,-367335.1419890758,122872.16809544674
481,-367413.2303291227,122671.84752407105
482,-367491.1821570821,122471.48078527689
483,-367568.99743273656,122271.06794861374
484,-367646.6761158519,122070.60908361441
485,-367724.21816627705,121870.10425984499
486,-367801.6235438774,121669.55354697118
487,-367878.8922086184,121468.95701449268
488,-367956.02412038215,121268.31473217493
489,-368033.0192391838,121067.62676966697
490,-368109.8775250552,120866.89319666791
491,-368186.5989380115,120666.11408292656
492,-368263.1834381675,120465.28949820832
493,-368339.63098567125,120264.41951227869
494,-368415.9415406212,120063.5041950028
495,-368492.11506333156,119862.54361619592
496,-368568.1515139506,119661.53784572317
497,-368644.0508527926,119460.48695349961
498,-368719.81304010533,119259.39100944017
499,-368795.4380363196,119058.25008350972
500,-368870.92580176645,118857.06424565644
501,-368946.2762968931,118655.83356594482
502,-369021.48948213033,118454.5581144062
503,-369096.5653179752,118253.23796102201
504,-369171.5037649582,118051.87317597307
505,-369246.30478369293,117850.46382932388
506,-369320.9683346933,117649.00999120544
507,-369395.4943786725,117447.51173186502
508,-369469.8828762772,117245.96912141696
509,-369544.1337882043,117044.38223014181
510,-369618.2470752666,116842.7511282536
511,-369692.22269817756,116641.07588601625
512,-369766.0606177999,116439.35657377668
513,-369839.76079496345,116237.59326186524
514,-369913.32319056435,116035.78602064558
515,-369986.7477656147,115833.93492044797
516,-370060.03448099433,115632.04003176895
517,-370133.1832977158,115430.10142502195
518,-370206.19417685794,115228.1191706038
519,-370279.0670794998,115026.09333909405
520,-370351.80196672026,114824.02400097258
521,-370424.39879974775,114621.91122683552
522,-370496.85753969493,114419.75508717948
523,-370569.1781478232,114217.55565268367
524,-370641.36058539466,114015.31299396085
525,-370713.404813754,113813.02718159066
526,-370785.3107941965,113610.69828636863
527,-370857.07848808356,113408.32637892416
528,-370928.70785685995,113205.9115300362
529,-371000.19886198675,113003.45381046711
530,-371071.5514649422,112800.95329099579
531,-371142.7656271708,112598.4100424677
532,-371213.8413103997,112395.8241356617
533,-371284.7784761234,112193.19564150635
534,-371355.5770859863,111990.52463091345
535,-371426.23710166564,111787.8111747617
536,-371496.7584848886,111585.05534401273
537,-371567.14119739895,111382.25720967811
538,-371637.3852009574,111179.41684275278
539,-371707.49045747396,110976.53431423169
540,-371777.45692869235,110773.60969520944
541,-371847.28457662265,110570.64305679721
542,-371916.97336312477,110367.63447005647
543,-371986.5232501923,110164.5840061815
544,-372055.93419985136,109961.49173630012
545,-372125.2061741617,109758.35773163984
546,-372194.339135183,109555.18206337845
547,-372263.3330450416,109351.96480277662
548,-372332.1878659301,109148.70602112835
549,-372400.9035600408,108945.40578972768
550,-372469.4800895504,108742.06417993497
551,-372537.91741681716,108538.68126304426
552,-372606.2155041505,108335.25711048246
553,-372674.3743138427,108131.79179364319
554,-372742.393808319,107928.28538395344
555,-372810.2739500381,107724.73795290643
556,-372878.01470137574,107521.14957199564
557,-372945.61602489004,107317.52031268117
558,-373013.07788317255,107113.85024653941
559,-373080.4002387154,106910.13944519668
560,-373147.58305417636,106706.38798012969
561,-373214.6262922137,106502.59592306436
562,-373281.5299155021,106298.76334561042
563,-373348.2938867661,106094.89031946057
564,-373414.9181687967,105890.97691629083
565,-373481.40272441844,105687.02320786052
566,-373547.7475164388,105483.0292659121
567,-373613.9525077486,105278.99516225468
568,-373680.01766130526,105074.92096868061
569,-373745.94294001604,104870.80675701553
570,-373811.7283068881,104666.65259911832
571,-373877.3737250118,104462.45856691427
572,-373942.8791573943,104258.22473227888
573,-374008.24456715904,104053.95116723714
574,-374073.4699175127,103849.63794366455
575,-374138.55517161195,103645.2851336193
576,-374203.5002926302,103440.89280909322
577,-374268.3052439403,103236.46104214445
578,-374332.96998874896,103031.98990484793
579,-374397.49449046206,102827.4794693283
580,-374461.878712436,102622.92980776003
581,-374526.12261811004,102418.34099216823
582,-374590.22617089027,102213.71309484365
583,-374654.189334349,102009.04618797747
584,-374718.0120719921,101804.34034381056
585,-374781.69434735854,101599.59563458402
586,-374845.23612412054,101394.81213258865
587,-374908.63736588333,101189.98991016505
588,-374971.8980363525,100985.12903967056
589,-375035.018099283,100780.22959339595
590,-375097.9975184135,100575.29164384806
591,-375160.836257549,100370.31526338415
592,-375223.5342805444,100165.30052447777
593,-375286.0915512877,99960.24749956926
594,-375348.5080337335,99755.15626121526
595,-375410.7836917703,99550.02688192259
596,-375472.918489452,99344.85943421464
597,-375534.9123908332,99139.65399074771
598,-375596.76535993506,98934.41062407847
599,-375658.4773609281,98729.1294068466
600,-375720.0483579499,98523.81041172503
601,-375781.4783151709,98318.45371138668
602,-375842.7671968787,98113.05937860419
603,-375903.91496732674,97907.62748605046
604,-375964.9215908352,97702.15810653135
605,-376025.78703172476,97496.65131281948
606,-376086.5112544153,97291.10717775385
607,-376147.0942233434,97085.52577419017
608,-376207.5359029791,96879.90717498412
609,-376267.8362578254,96674.25145305786
610,-376327.99525240244,96468.55868130027
611,-376388.01285129593,96262.82893273314
612,-376447.8890192255,96057.06228027857
613,-376507.62372079387,95851.25879692522
614,-376567.2169206705,95645.41855581115
615,-376626.6685836577,95439.54162989173
616,-376685.9786745579,95233.62809225514
617,-376745.1471581068,95027.67801610603
618,-376804.17399927316,94821.69147449943
619,-376863.05916292564,94615.66854063983
620,-376921.80261391663,94409.6092876654
621,-376980.4043173475,94203.51378889693
622,-377038.8642382535,93997.38211747253
623,-377097.18234160304,93791.21434672966
624,-377155.35859254765,93585.01054995593
625,-377213.3929562221,93378.77080042237
626,-377271.285397811,93172.49517154947
627,-377329.03588253236,92966.18373664151
